asin,bullet_score,attributes_score,important_score,aplus_score,video_score,image_score,brand_bonus,trust_bonus,listing_score,listing_rank
B0FVLQMK31,67.04,92.53,0.0,99.0,90.0,49.97,10,2.5,82.64,28.0
B07MDJDK23,64.3,85.22,100.0,69.0,70.0,36.42,10,7.0,82.1,29.0
B0D53DDQFD,64.57,96.43,100.0,57.0,90.0,43.68,10,2.5,82.1,29.0
B0C8N6FXHC,64.67,88.98,100.0,69.0,90.0,45.76,10,2.5,81.99,31.0
B0FVLR1DZR,66.68,86.81,0.0,99.0,90.0,51.14,10,2.5,81.39,32.0
B0BWD94QMH,65.91,92.43,100.0,84.0,90.0,40.09,10,0.5,81.3,33.0
B0CL9XMM7Y,64.74,87.81,100.0,69.0,0.0,40.83,10,7.0,80.48,34.0
B09JW54WNY,69.01,98.04,100.0,57.0,0.0,30.03,10,7.0,80.42,35.0
B0C26WMM1T,64.67,88.38,100.0,69.0,70.0,35.24,10,4.5,80.21,36.0
B0CTSXTGPF,69.19,100.0,100.0,57.0,70.0,40.89,10,0.0,80.18,37.0
B085J2L82B,65.08,91.04,100.0,69.0,0.0,43.9,10,5.0,80.16,38.0
B0C8N7VCFZ,64.61,88.23,0.0,69.0,100.0,44.84,10,5.5,80.05,39.0
B0C4LFRBDB,69.02,93.91,100.0,57.0,0.0,31.34,10,7.0,79.72,40.0
B0D2PSLT9F,72.51,100.0,100.0,57.0,70.0,35.03,10,0.0,79.71,41.0
B08QM8VTMW,68.22,91.39,100.0,69.0,0.0,45.78,10,3.0,79.66,42.0
B0GMZ2QD75,72.94,98.12,100.0,57.0,0.0,41.24,10,2.0,79.42,43.0
B0BFPZFH1P,64.63,91.96,100.0,69.0,0.0,46.21,10,3.5,79.33,44.0
B0FGXXVF7J,71.61,91.79,100.0,69.0,0.0,49.98,10,0.0,78.83,45.0
B0G12K198P,69.77,89.08,0.0,99.0,90.0,43.96,10,0.0,78.59,46.0
B0CV52J8FT,64.99,95.19,100.0,69.0,0.0,43.13,10,2.5,78.48,47.0
B0DP9CR9FQ,69.92,100.0,100.0,69.0,0.0,41.79,10,0.0,78.32,48.0
B0C7KC7R6Y,66.12,96.0,100.0,69.0,70.0,35.21,10,0.0,78.04,49.0
B0CQQ9W4BF,72.03,100.0,100.0,45.0,0.0,37.41,10,2.5,77.96,50.0
B0FY2TWL3B,66.72,94.37,100.0,84.0,90.0,48.82,0,4.0,77.71,51.0
B0H38K62K2,71.48,93.13,0.0,69.0,0.0,46.97,10,4.0,77.37,52.0
B0F8N5NND2,73.15,100.0,100.0,69.0,70.0,48.92,0,2.5,77.08,53.0
B0FT2JLPD8,64.01,89.16,100.0,69.0,0.0,44.71,10,2.5,77.07,54.0
B0FQC7RR3H,64.69,88.97,100.0,69.0,0.0,43.91,10,2.5,77.03,55.0
B0G2XHN7X5,65.4,88.78,100.0,69.0,0.0,43.1,10,2.5,76.99,56.0
B0FXWZGZZK,66.68,89.74,100.0,84.0,90.0,48.67,0,4.0,76.51,57.0
B09ZYHF44Y,69.12,100.0,100.0,0.0,70.0,28.08,10,5.0,76.26,58.0
B0CP5DZ4CY,64.23,100.0,100.0,57.0,0.0,40.48,10,0.5,75.59,59.0
B0FC2GBK96,64.55,94.63,100.0,57.0,0.0,45.29,10,0.5,75.55,60.0
B0DCHZX2QN,64.87,89.72,100.0,69.0,0.0,36.7,10,2.5,75.47,61.0
B00Q0856KA,47.24,88.75,100.0,69.0,0.0,50.19,10,4.5,75.31,62.0
B0GWMC2ZLV,69.57,96.09,0.0,69.0,0.0,36.84,10,4.0,75.0,63.0
B0BF46JJB8,64.83,93.33,100.0,69.0,0.0,32.9,10,2.0,74.91,64.0
B0FSQ4RG83,64.66,93.35,100.0,69.0,70.0,50.4,0,4.0,74.74,65.0
B0F7R9MPFR,64.52,90.23,100.0,45.0,0.0,43.81,10,2.0,74.37,66.0
B0CP26X29W,67.94,89.61,100.0,57.0,0.0,38.91,10,0.5,73.71,67.0
B0G1YMHDTH,69.23,89.89,100.0,84.0,70.0,53.92,0,0.0,73.62,68.0
B0FFT3FCZC,64.48,100.0,100.0,69.0,90.0,43.45,0,2.0,73.61,69.0
B0GVY9DP57,72.51,96.4,0.0,69.0,70.0,52.96,0,4.0,73.49,70.0
B08H254XCB,64.81,100.0,100.0,69.0,90.0,44.39,0,1.5,73.44,71.0
B0FVM4MDK9,65.89,100.0,100.0,69.0,0.0,49.53,0,4.0,73.05,72.0
B0FK57MTS3,64.76,100.0,100.0,45.0,70.0,49.37,0,2.0,71.77,73.0
B0GY872VLJ,66.56,96.4,0.0,69.0,70.0,50.45,0,4.0,71.08,74.0
B0GYXYYQZZ,64.7,97.04,0.0,69.0,70.0,51.44,0,4.0,70.93,75.0
B0GWM467TJ,64.66,100.0,0.0,69.0,70.0,45.26,0,4.0,70.11,76.0
B0DS21J9RG,69.76,96.45,100.0,69.0,0.0,42.17,0,2.5,69.98,77.0
B0H3P53ZL9,64.65,88.25,0.0,84.0,70.0,49.59,0,4.0,69.75,78.0
B0FFSYD6PD,65.64,100.0,100.0,69.0,0.0,43.35,0,2.0,69.43,79.0
B0DKJTD22V,64.49,100.0,100.0,69.0,0.0,44.2,0,2.0,69.3,80.0
B0FH2GM4K9,69.6,92.27,100.0,0.0,0.0,31.52,10,2.0,68.83,81.0
B0DDC1C1GN,65.56,99.24,100.0,69.0,0.0,40.36,0,2.0,68.47,82.0
B0CNXY7Z8J,64.82,94.08,100.0,45.0,70.0,35.91,0,3.5,68.44,83.0
B0CX8TRVSS,66.0,94.82,100.0,69.0,0.0,33.52,0,4.5,68.28,84.0
B0F1Y484RH,64.83,92.68,100.0,57.0,0.0,49.6,0,2.5,68.22,85.0
B0GTLRJPGT,64.62,88.93,0.0,69.0,70.0,48.51,0,4.0,68.15,86.0
B00I0UOESG,43.15,87.28,100.0,0.0,0.0,44.95,10,7.0,68.0,87.0
B0F1Y4F3PS,64.83,88.32,100.0,57.0,0.0,51.01,0,2.5,67.48,88.0
B0CTK9768L,64.23,88.73,100.0,69.0,0.0,45.09,0,2.5,67.12,89.0
B0H4RB849Q,65.02,100.0,0.0,69.0,70.0,45.98,0,0.0,66.4,90.0
B0GMPX8YJG,64.53,100.0,0.0,69.0,0.0,42.49,0,4.0,65.88,91.0
B0H4QXT8CD,65.02,100.0,0.0,69.0,70.0,43.23,0,0.0,65.71,92.0
B0FRSHGBY3,65.51,100.0,100.0,57.0,0.0,39.49,0,0.0,65.23,93.0
B0GT4K1VS8,64.25,94.1,0.0,69.0,70.0,46.34,0,0.0,64.78,94.0
B0DNN6PJ6P,65.69,100.0,100.0,69.0,0.0,28.64,0,0.5,64.27,95.0
B0GHWMPHZZ,70.57,100.0,0.0,69.0,0.0,41.34,0,0.0,63.41,96.0
B0GX5HS9WF,64.89,88.24,0.0,69.0,0.0,41.13,0,4.0,62.71,97.0
B0CX51L29M,65.59,100.0,100.0,0.0,0.0,28.87,0,2.0,58.89,98.0
B0GZKBLVWV,65.77,99.6,0.0,0.0,0.0,21.03,0,0.0,49.89,99.0
B0H28RZB23,67.95,97.4,0.0,0.0,0.0,15.45,0,0.0,48.6,100.0
