ASIN,Avg_Stars,Total_Reviews_Count,Avg_Sentiment_Score,Positive%,Neutral%,Negative%,AI_Pos_Keywords,AI_Neg_Keywords,Conversion_Score
B0C8N681D2,4.58,13,0.541,69.2,23.1,7.7,364,0,78.26
B07KB47FLJ,4.55,13,0.426,53.8,30.8,15.4,783,0,73.29
B0BWD94QMH,4.12,13,-0.003,30.8,30.8,38.5,12,0,59.65
B0DP9CR9FQ,3.84,5,0.511,80.0,0.0,20.0,0,0,69.3
B0FVM4MDK9,4.74,3,0.335,66.7,0.0,33.3,0,0,68.8
B0FH2GM4K9,4.38,13,0.422,53.8,30.8,15.4,0,0,67.2
B0H4QXT8CD,4.0,2,0.475,50.0,50.0,0.0,0,0,62.71
B0FC2GBK96,3.78,13,0.483,69.2,7.7,23.1,33,0,72.59
B0C8N6FXHC,4.38,13,0.664,69.2,30.8,0.0,149,7,78.46
B0GMZ2QD75,4.3,11,-0.463,27.3,0.0,72.7,0,0,47.91
B0H38K62K2,5.0,5,0.072,40.0,40.0,20.0,0,0,61.67
B0CX51L29M,4.42,9,0.127,33.3,33.3,33.3,0,0,58.42
B00Q0856KA,4.71,10,0.829,90.0,10.0,0.0,43,0,87.17
B09ZYHF44Y,4.18,13,0.029,38.5,23.1,38.5,141,16,61.0
B096M54QC4,4.55,13,0.541,69.2,23.1,7.7,106,9,77.3
B0FFSYD6PD,4.18,13,0.282,61.5,7.7,30.8,23,0,70.44
B0C8N7VCFZ,4.58,13,0.541,69.2,23.1,7.7,364,0,78.26
B0DKJTD22V,4.46,8,0.621,62.5,37.5,0.0,0,0,71.76
B0DCHZX2QN,4.2,13,0.284,53.8,23.1,23.1,63,0,69.05
B0G2XHN7X5,4.25,13,0.228,53.8,15.4,30.8,37,0,68.5
B0F7R9MPFR,4.21,10,0.256,50.0,20.0,30.0,11,0,67.57
B0G12K198P,2.72,4,-0.047,25.0,50.0,25.0,0,0,42.95
B0GWMC2ZLV,4.52,8,0.006,37.5,12.5,50.0,0,0,57.88
B0CQQ9W4BF,4.19,13,0.222,53.8,15.4,30.8,88,0,68.05
B0D962W8TP,4.54,13,0.548,69.2,7.7,23.1,118,0,78.13
B0FRFNKNB1,4.69,4,0.851,100.0,0.0,0.0,0,0,83.23
B0GYXYYQZZ,5.0,4,0.489,75.0,0.0,25.0,0,0,74.67
B0D2PSLT9F,3.46,3,0.343,66.7,0.0,33.3,0,0,61.24
B0CTSXTGPF,3.93,9,0.296,55.6,11.1,33.3,0,0,62.47
B0GWM467TJ,4.79,10,0.155,40.0,20.0,40.0,0,0,62.53
B08QM8VTMW,4.12,13,0.246,46.2,30.8,23.1,153,10,65.85
B08GYPL6X9,4.51,13,0.679,84.6,0.0,15.4,683,33,82.52
B0GHWMPHZZ,3.0,0,0.0,0.0,0.0,0.0,0,0,38.0
B0F8N5NND2,4.32,13,0.565,61.5,38.5,0.0,25,0,75.52
B08H254XCB,4.02,12,0.044,41.7,16.7,41.7,137,16,60.78
B0C7KC7R6Y,3.96,8,0.565,75.0,0.0,25.0,20,0,75.42
B079DT9THL,4.49,13,0.352,53.8,23.1,23.1,366,0,71.81
B0CP26X29W,4.15,8,0.531,75.0,0.0,25.0,55,7,74.92
B0CV52J8FT,4.43,13,0.35,61.5,7.7,30.8,55,0,72.96
B0DXKPFSVL,4.7,8,0.528,75.0,0.0,25.0,24,0,79.3
B094CCD82B,4.3,13,0.16,46.2,23.1,30.8,387,22,65.71
B0C4LFRBDB,4.64,13,0.514,69.2,15.4,15.4,166,0,78.21
B0C26WMM1T,4.71,13,0.445,61.5,23.1,15.4,99,0,76.07
B0GVY9DP57,5.0,6,0.995,100.0,0.0,0.0,0,0,87.74
B085J2L82B,4.35,13,0.4,61.5,15.4,23.1,220,0,73.22
B0FRSHGBY3,3.98,13,-0.158,41.7,0.0,58.3,0,0,53.66
B0FGXXVF7J,3.92,8,0.148,50.0,12.5,37.5,0,0,58.92
B0H3P53ZL9,4.52,2,0.063,50.0,0.0,50.0,0,0,59.65
B0GT4K1VS8,3.85,5,0.592,80.0,0.0,20.0,0,0,70.58
B0BF46JJB8,4.26,9,0.272,44.4,33.3,22.2,0,0,61.86
B0DNN6PJ6P,4.11,13,0.253,53.8,7.7,38.5,12,0,68.04
B0DS21J9RG,4.26,13,0.409,53.8,30.8,15.4,69,5,70.61
B0CL9XMM7Y,4.53,13,0.537,69.2,15.4,15.4,176,0,77.9
B0CX8TRVSS,4.49,13,0.254,53.8,15.4,30.8,155,0,70.34
B07DGPWLX2,4.36,13,0.102,46.2,7.7,46.2,581,0,65.75
B0811RBBY7,4.54,13,0.476,69.2,0.0,30.8,1898,75,76.67
B0CFL7Q3G4,4.45,13,-0.139,30.8,15.4,53.8,11,0,59.58
B00I0UOESG,4.56,13,0.331,61.5,15.4,23.1,749,0,73.46
B0D53DDQFD,4.39,13,0.215,53.8,7.7,38.5,145,0,69.16
B0DDC1C1GN,4.44,8,0.33,62.5,12.5,25.0,0,0,67.26
B0H29F2KQB,5.0,1,0.893,100.0,0.0,0.0,0,0,84.39
B0GZKBLVWV,3.52,3,-0.288,33.3,0.0,66.7,0,0,45.48
B0GMPX8YJG,5.0,2,-0.938,0.0,0.0,100.0,0,0,37.52
